library_id	biospecimen_id	project	input_1	input_2	assay_hint	condition	treatment	dose	dose_unit	time_h	replicate	cell_line	old_sample_name	old_run	old_biosample	old_bioproject
BEAS_2B_1A_rnaseq	BEAS_2B_1A	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/1A/1A_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/1A/1A_2.fastq.gz	rnaseq	control	control	0	uM	24	A	BEAS_2B	1A	1A	biosampletime24	BEAS_2B_long
BEAS_2B_1C_rnaseq	BEAS_2B_1C	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/1C/1C_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/1C/1C_2.fastq.gz	rnaseq	control	control	0	uM	24	C	BEAS_2B	1C	1C	biosampletime24	BEAS_2B_long
BEAS_2B_1E_rnaseq	BEAS_2B_1E	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/1E/1E_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/1E/1E_2.fastq.gz	rnaseq	control	control	0	uM	24	E	BEAS_2B	1E	1E	biosampletime24	BEAS_2B_long
BEAS_2B_2A_rnaseq	BEAS_2B_2A	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/2A/2A_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/2A/2A_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	24	A	BEAS_2B	2A	2A	biosampletime24	BEAS_2B_long
BEAS_2B_2C_rnaseq	BEAS_2B_2C	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/2C/2C_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/2C/2C_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	24	C	BEAS_2B	2C	2C	biosampletime24	BEAS_2B_long
BEAS_2B_2E_rnaseq	BEAS_2B_2E	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/2E/2E_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/2E/2E_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	24	E	BEAS_2B	2E	2E	biosampletime24	BEAS_2B_long
BEAS_2B_3A_rnaseq	BEAS_2B_3A	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/3A/3A_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/3A/3A_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	24	A	BEAS_2B	3A	3A	biosampletime24	BEAS_2B_long
BEAS_2B_3C_rnaseq	BEAS_2B_3C	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/3C/3C_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/3C/3C_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	24	C	BEAS_2B	3C	3C	biosampletime24	BEAS_2B_long
BEAS_2B_3E_rnaseq	BEAS_2B_3E	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/3E/3E_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/3E/3E_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	24	E	BEAS_2B	3E	3E	biosampletime24	BEAS_2B_long
BEAS_2B_4A_rnaseq	BEAS_2B_4A	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/4A/4A_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/4A/4A_2.fastq.gz	rnaseq	control	control	0	uM	48	A	BEAS_2B	4A	4A	biosampletime48	BEAS_2B_long
BEAS_2B_4C_rnaseq	BEAS_2B_4C	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/4C/4C_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/4C/4C_2.fastq.gz	rnaseq	control	control	0	uM	48	C	BEAS_2B	4C	4C	biosampletime48	BEAS_2B_long
BEAS_2B_4E_rnaseq	BEAS_2B_4E	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/4E/4E_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/4E/4E_2.fastq.gz	rnaseq	control	control	0	uM	48	E	BEAS_2B	4E	4E	biosampletime48	BEAS_2B_long
BEAS_2B_5A_rnaseq	BEAS_2B_5A	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/5A/5A_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/5A/5A_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	48	A	BEAS_2B	5A	5A	biosampletime48	BEAS_2B_long
BEAS_2B_5C_rnaseq	BEAS_2B_5C	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/5C/5C_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/5C/5C_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	48	C	BEAS_2B	5C	5C	biosampletime48	BEAS_2B_long
BEAS_2B_5E_rnaseq	BEAS_2B_5E	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/5E/5E_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/5E/5E_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	48	E	BEAS_2B	5E	5E	biosampletime48	BEAS_2B_long
BEAS_2B_6A_rnaseq	BEAS_2B_6A	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/6A/6A_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/6A/6A_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	48	A	BEAS_2B	6A	6A	biosampletime48	BEAS_2B_long
BEAS_2B_6C_rnaseq	BEAS_2B_6C	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/6C/6C_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/6C/6C_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	48	C	BEAS_2B	6C	6C	biosampletime48	BEAS_2B_long
BEAS_2B_6E_rnaseq	BEAS_2B_6E	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/6E/6E_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/6E/6E_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	48	E	BEAS_2B	6E	6E	biosampletime48	BEAS_2B_long
BEAS_2B_7A_rnaseq	BEAS_2B_7A	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/7A/7A_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/7A/7A_2.fastq.gz	rnaseq	control	control	0	uM	72	A	BEAS_2B	7A	7A	biosampletime72	BEAS_2B_long
BEAS_2B_7C_rnaseq	BEAS_2B_7C	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/7C/7C_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/7C/7C_2.fastq.gz	rnaseq	control	control	0	uM	72	C	BEAS_2B	7C	7C	biosampletime72	BEAS_2B_long
BEAS_2B_7E_rnaseq	BEAS_2B_7E	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/7E/7E_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/7E/7E_2.fastq.gz	rnaseq	control	control	0	uM	72	E	BEAS_2B	7E	7E	biosampletime72	BEAS_2B_long
BEAS_2B_8A_rnaseq	BEAS_2B_8A	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/8A/8A_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/8A/8A_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	72	A	BEAS_2B	8A	8A	biosampletime72	BEAS_2B_long
BEAS_2B_8C_rnaseq	BEAS_2B_8C	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/8C/8C_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/8C/8C_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	72	C	BEAS_2B	8C	8C	biosampletime72	BEAS_2B_long
BEAS_2B_8E_rnaseq	BEAS_2B_8E	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/8E/8E_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/8E/8E_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	72	E	BEAS_2B	8E	8E	biosampletime72	BEAS_2B_long
BEAS_2B_9A_rnaseq	BEAS_2B_9A	BEAS_2B	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/9A/9A_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/BEAS_2B_long/9A/9A_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	72	A	BEAS_2B	9A	9A	biosampletime72	BEAS_2B_long
