library_id	biospecimen_id	project	input_1	input_2	assay_hint	condition	treatment	dose	dose_unit	time_h	replicate	cell_line	old_sample_name	old_run	old_biosample	old_bioproject
HEP_G2_1A_H_rnaseq	HEP_G2_1A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/1A_H/1A_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/1A_H/1A_H_2.fastq.gz	rnaseq	control	control	0	uM	24	A	HEP_G2	1A_H	1A_H	biosampletime24	HEP_G2_long
HEP_G2_1C_H_rnaseq	HEP_G2_1C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/1C_H/1C_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/1C_H/1C_H_2.fastq.gz	rnaseq	control	control	0	uM	24	C	HEP_G2	1C_H	1C_H	biosampletime24	HEP_G2_long
HEP_G2_1E_H_rnaseq	HEP_G2_1E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/1E_H/1E_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/1E_H/1E_H_2.fastq.gz	rnaseq	control	control	0	uM	24	E	HEP_G2	1E_H	1E_H	biosampletime24	HEP_G2_long
HEP_G2_2A_H_rnaseq	HEP_G2_2A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/2A_H/2A_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/2A_H/2A_H_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	24	A	HEP_G2	2A_H	2A_H	biosampletime24	HEP_G2_long
HEP_G2_2C_H_rnaseq	HEP_G2_2C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/2C_H/2C_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/2C_H/2C_H_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	24	C	HEP_G2	2C_H	2C_H	biosampletime24	HEP_G2_long
HEP_G2_2E_H_rnaseq	HEP_G2_2E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/2E_H/2E_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/2E_H/2E_H_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	24	E	HEP_G2	2E_H	2E_H	biosampletime24	HEP_G2_long
HEP_G2_3A_H_rnaseq	HEP_G2_3A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/3A_H/3A_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/3A_H/3A_H_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	24	A	HEP_G2	3A_H	3A_H	biosampletime24	HEP_G2_long
HEP_G2_3C_H_rnaseq	HEP_G2_3C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/3C_H/3C_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/3C_H/3C_H_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	24	C	HEP_G2	3C_H	3C_H	biosampletime24	HEP_G2_long
HEP_G2_3E_H_rnaseq	HEP_G2_3E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/3E_H/3E_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/3E_H/3E_H_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	24	E	HEP_G2	3E_H	3E_H	biosampletime24	HEP_G2_long
HEP_G2_4A_H_rnaseq	HEP_G2_4A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/4A_H/4A_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/4A_H/4A_H_2.fastq.gz	rnaseq	control	control	0	uM	48	A	HEP_G2	4A_H	4A_H	biosampletime48	HEP_G2_long
HEP_G2_4C_H_rnaseq	HEP_G2_4C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/4C_H/4C_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/4C_H/4C_H_2.fastq.gz	rnaseq	control	control	0	uM	48	C	HEP_G2	4C_H	4C_H	biosampletime48	HEP_G2_long
HEP_G2_4E_H_rnaseq	HEP_G2_4E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/4E_H/4E_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/4E_H/4E_H_2.fastq.gz	rnaseq	control	control	0	uM	48	E	HEP_G2	4E_H	4E_H	biosampletime48	HEP_G2_long
HEP_G2_5A_H_rnaseq	HEP_G2_5A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/5A_H/5A_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/5A_H/5A_H_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	48	A	HEP_G2	5A_H	5A_H	biosampletime48	HEP_G2_long
HEP_G2_5C_H_rnaseq	HEP_G2_5C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/5C_H/5C_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/5C_H/5C_H_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	48	C	HEP_G2	5C_H	5C_H	biosampletime48	HEP_G2_long
HEP_G2_5E_H_rnaseq	HEP_G2_5E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/5E_H/5E_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/5E_H/5E_H_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	48	E	HEP_G2	5E_H	5E_H	biosampletime48	HEP_G2_long
HEP_G2_6A_H_rnaseq	HEP_G2_6A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/6A_H/6A_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/6A_H/6A_H_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	48	A	HEP_G2	6A_H	6A_H	biosampletime48	HEP_G2_long
HEP_G2_6C_H_rnaseq	HEP_G2_6C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/6C_H/6C_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/6C_H/6C_H_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	48	C	HEP_G2	6C_H	6C_H	biosampletime48	HEP_G2_long
HEP_G2_6E_H_rnaseq	HEP_G2_6E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/6E_H/6E_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/6E_H/6E_H_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	48	E	HEP_G2	6E_H	6E_H	biosampletime48	HEP_G2_long
HEP_G2_7A_H_rnaseq	HEP_G2_7A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/7A_H/7A_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/7A_H/7A_H_2.fastq.gz	rnaseq	control	control	0	uM	72	A	HEP_G2	7A_H	7A_H	biosampletime72	HEP_G2_long
HEP_G2_7C_H_rnaseq	HEP_G2_7C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/7C_H/7C_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/7C_H/7C_H_2.fastq.gz	rnaseq	control	control	0	uM	72	C	HEP_G2	7C_H	7C_H	biosampletime72	HEP_G2_long
HEP_G2_7E_H_rnaseq	HEP_G2_7E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/7E_H/7E_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/7E_H/7E_H_2.fastq.gz	rnaseq	control	control	0	uM	72	E	HEP_G2	7E_H	7E_H	biosampletime72	HEP_G2_long
HEP_G2_8A_H_rnaseq	HEP_G2_8A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/8A_H/8A_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/8A_H/8A_H_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	72	A	HEP_G2	8A_H	8A_H	biosampletime72	HEP_G2_long
HEP_G2_8C_H_rnaseq	HEP_G2_8C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/8C_H/8C_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/8C_H/8C_H_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	72	C	HEP_G2	8C_H	8C_H	biosampletime72	HEP_G2_long
HEP_G2_8E_H_rnaseq	HEP_G2_8E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/8E_H/8E_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/8E_H/8E_H_2.fastq.gz	rnaseq	PS_10uM	PS	10	uM	72	E	HEP_G2	8E_H	8E_H	biosampletime72	HEP_G2_long
HEP_G2_9A_H_rnaseq	HEP_G2_9A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/9A_H/9A_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/9A_H/9A_H_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	72	A	HEP_G2	9A_H	9A_H	biosampletime72	HEP_G2_long
HEP_G2_9C_H_rnaseq	HEP_G2_9C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/9C_H/9C_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/9C_H/9C_H_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	72	C	HEP_G2	9C_H	9C_H	biosampletime72	HEP_G2_long
HEP_G2_9E_H_rnaseq	HEP_G2_9E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/9E_H/9E_H_1.fastq.gz	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_long/9E_H/9E_H_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	72	E	HEP_G2	9E_H	9E_H	biosampletime72	HEP_G2_long
HEP_G2_1A_H_smallrna	HEP_G2_1A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/1A_H/1A_H_short.fq.gz		smallrna	control	control	0	uM	24	A	HEP_G2	1A_H_short	1A_H	biosampletime24	HEP_G2_short
HEP_G2_1C_H_smallrna	HEP_G2_1C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/1C_H/1C_H_short.fq.gz		smallrna	control	control	0	uM	24	C	HEP_G2	1C_H_short	1C_H	biosampletime24	HEP_G2_short
HEP_G2_1E_H_smallrna	HEP_G2_1E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/1E_H/1E_H_short.fq.gz		smallrna	control	control	0	uM	24	E	HEP_G2	1E_H_short	1E_H	biosampletime24	HEP_G2_short
HEP_G2_2A_H_smallrna	HEP_G2_2A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/2A_H/2A_H_short.fq.gz		smallrna	PS_10uM	PS	10	uM	24	A	HEP_G2	2A_H_short	2A_H	biosampletime24	HEP_G2_short
HEP_G2_2C_H_smallrna	HEP_G2_2C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/2C_H/2C_H_short.fq.gz		smallrna	PS_10uM	PS	10	uM	24	C	HEP_G2	2C_H_short	2C_H	biosampletime24	HEP_G2_short
HEP_G2_2E_H_smallrna	HEP_G2_2E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/2E_H/2E_H_short.fq.gz		smallrna	PS_10uM	PS	10	uM	24	E	HEP_G2	2E_H_short	2E_H	biosampletime24	HEP_G2_short
HEP_G2_3A_H_smallrna	HEP_G2_3A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/3A_H/3A_H_short.fq.gz		smallrna	PS_100uM	PS	100	uM	24	A	HEP_G2	3A_H_short	3A_H	biosampletime24	HEP_G2_short
HEP_G2_3C_H_smallrna	HEP_G2_3C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/3C_H/3C_H_short.fq.gz		smallrna	PS_100uM	PS	100	uM	24	C	HEP_G2	3C_H_short	3C_H	biosampletime24	HEP_G2_short
HEP_G2_3E_H_smallrna	HEP_G2_3E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/3E_H/3E_H_short.fq.gz		smallrna	PS_100uM	PS	100	uM	24	E	HEP_G2	3E_H_short	3E_H	biosampletime24	HEP_G2_short
HEP_G2_4A_H_smallrna	HEP_G2_4A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/4A_H/4A_H_short.fq.gz		smallrna	control	control	0	uM	48	A	HEP_G2	4A_H_short	4A_H	biosampletime48	HEP_G2_short
HEP_G2_4C_H_smallrna	HEP_G2_4C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/4C_H/4C_H_short.fq.gz		smallrna	control	control	0	uM	48	C	HEP_G2	4C_H_short	4C_H	biosampletime48	HEP_G2_short
HEP_G2_4E_H_smallrna	HEP_G2_4E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/4E_H/4E_H_short.fq.gz		smallrna	control	control	0	uM	48	E	HEP_G2	4E_H_short	4E_H	biosampletime48	HEP_G2_short
HEP_G2_5A_H_smallrna	HEP_G2_5A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/5A_H/5A_H_short.fq.gz		smallrna	PS_10uM	PS	10	uM	48	A	HEP_G2	5A_H_short	5A_H	biosampletime48	HEP_G2_short
HEP_G2_5C_H_smallrna	HEP_G2_5C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/5C_H/5C_H_short.fq.gz		smallrna	PS_10uM	PS	10	uM	48	C	HEP_G2	5C_H_short	5C_H	biosampletime48	HEP_G2_short
HEP_G2_5E_H_smallrna	HEP_G2_5E_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/5E_H/5E_H_short.fq.gz		smallrna	PS_10uM	PS	10	uM	48	E	HEP_G2	5E_H_short	5E_H	biosampletime48	HEP_G2_short
HEP_G2_6A_H_smallrna	HEP_G2_6A_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/6A_H/6A_H_short.fq.gz		smallrna	PS_100uM	PS	100	uM	48	A	HEP_G2	6A_H_short	6A_H	biosampletime48	HEP_G2_short
HEP_G2_6C_H_smallrna	HEP_G2_6C_H	HEP_G2	/g100_work/ELIX6_santini/aspis_data/phdpipe/samples/HEP_G2_short/6C_H/6C_H_short.fq.gz		smallrna	PS_100uM	PS	100	uM	48	C	HEP_G2	6C_H_short	6C_H	biosampletime48	HEP_G2_short
