library_id	biospecimen_id	project	input_1	input_2	assay_hint	condition	treatment	dose	dose_unit	time_h	replicate	cell_line	old_sample_name	old_run	old_biosample	old_bioproject
BEAS_2B_1A_rnaseq	BEAS_2B_1A	BEAS_2B	../phdpipe/samples/BEAS_2B_long/1A/1A_1.fastq.gz	../phdpipe/samples/BEAS_2B_long/1A/1A_2.fastq.gz	rnaseq	control	control	0	uM	24	A	BEAS_2B	1A	1A	BEAS_2B_long	BEAS_2B_long
BEAS_2B_1C_rnaseq	BEAS_2B_1C	BEAS_2B	../phdpipe/samples/BEAS_2B_long/1C/1C_1.fastq.gz	../phdpipe/samples/BEAS_2B_long/1C/1C_2.fastq.gz	rnaseq	control	control	0	uM	24	C	BEAS_2B	1C	1C	BEAS_2B_long	BEAS_2B_long
BEAS_2B_1E_rnaseq	BEAS_2B_1E	BEAS_2B	../phdpipe/samples/BEAS_2B_long/1E/1E_1.fastq.gz	../phdpipe/samples/BEAS_2B_long/1E/1E_2.fastq.gz	rnaseq	control	control	0	uM	24	E	BEAS_2B	1E	1E	BEAS_2B_long	BEAS_2B_long
BEAS_2B_3A_rnaseq	BEAS_2B_3A	BEAS_2B	../phdpipe/samples/BEAS_2B_long/3A/3A_1.fastq.gz	../phdpipe/samples/BEAS_2B_long/3A/3A_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	24	A	BEAS_2B	3A	3A	BEAS_2B_long	BEAS_2B_long
BEAS_2B_3C_rnaseq	BEAS_2B_3C	BEAS_2B	../phdpipe/samples/BEAS_2B_long/3C/3C_1.fastq.gz	../phdpipe/samples/BEAS_2B_long/3C/3C_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	24	C	BEAS_2B	3C	3C	BEAS_2B_long	BEAS_2B_long
BEAS_2B_3E_rnaseq	BEAS_2B_3E	BEAS_2B	../phdpipe/samples/BEAS_2B_long/3E/3E_1.fastq.gz	../phdpipe/samples/BEAS_2B_long/3E/3E_2.fastq.gz	rnaseq	PS_100uM	PS	100	uM	24	E	BEAS_2B	3E	3E	BEAS_2B_long	BEAS_2B_long
BEAS_2B_1A_smallrna	BEAS_2B_1A	BEAS_2B	../phdpipe/samples/BEAS_2B_short/1A/1A_short.fq.gz		smallrna	control	control	0	uM	24	A	BEAS_2B	1A	1A	BEAS_2B_short	BEAS_2B_short
BEAS_2B_1C_smallrna	BEAS_2B_1C	BEAS_2B	../phdpipe/samples/BEAS_2B_short/1C/1C_short.fq.gz		smallrna	control	control	0	uM	24	C	BEAS_2B	1C	1C	BEAS_2B_short	BEAS_2B_short
BEAS_2B_1E_smallrna	BEAS_2B_1E	BEAS_2B	../phdpipe/samples/BEAS_2B_short/1E/1E_short.fq.gz		smallrna	control	control	0	uM	24	E	BEAS_2B	1E	1E	BEAS_2B_short	BEAS_2B_short
BEAS_2B_3A_smallrna	BEAS_2B_3A	BEAS_2B	../phdpipe/samples/BEAS_2B_short/3A/3A_short.fq.gz		smallrna	PS_100uM	PS	100	uM	24	A	BEAS_2B	3A	3A	BEAS_2B_short	BEAS_2B_short
BEAS_2B_3C_smallrna	BEAS_2B_3C	BEAS_2B	../phdpipe/samples/BEAS_2B_short/3C/3C_short.fq.gz		smallrna	PS_100uM	PS	100	uM	24	C	BEAS_2B	3C	3C	BEAS_2B_short	BEAS_2B_short
BEAS_2B_3E_smallrna	BEAS_2B_3E	BEAS_2B	../phdpipe/samples/BEAS_2B_short/3E/3E_short.fq.gz		smallrna	PS_100uM	PS	100	uM	24	E	BEAS_2B	3E	3E	BEAS_2B_short	BEAS_2B_short
