sample_name,run,biosample,bioproject,condition
1A,1A,biosampletime24,BEAS_2B_long,control
1C,1C,biosampletime24,BEAS_2B_long,control
1E,1E,biosampletime24,BEAS_2B_long,control
2A,2A,biosampletime24,BEAS_2B_long,PS_10uM
2C,2C,biosampletime24,BEAS_2B_long,PS_10uM
2E,2E,biosampletime24,BEAS_2B_long,PS_10uM
3A,3A,biosampletime24,BEAS_2B_long,PS_100uM
3C,3C,biosampletime24,BEAS_2B_long,PS_100uM
3E,3E,biosampletime24,BEAS_2B_long,PS_100uM
4A,4A,biosampletime48,BEAS_2B_long,control
4C,4C,biosampletime48,BEAS_2B_long,control
4E,4E,biosampletime48,BEAS_2B_long,control
5A,5A,biosampletime48,BEAS_2B_long,PS_10uM
5C,5C,biosampletime48,BEAS_2B_long,PS_10uM
5E,5E,biosampletime48,BEAS_2B_long,PS_10uM
6A,6A,biosampletime48,BEAS_2B_long,PS_100uM
6C,6C,biosampletime48,BEAS_2B_long,PS_100uM
6E,6E,biosampletime48,BEAS_2B_long,PS_100uM
7A,7A,biosampletime72,BEAS_2B_long,control
7C,7C,biosampletime72,BEAS_2B_long,control
7E,7E,biosampletime72,BEAS_2B_long,control
8A,8A,biosampletime72,BEAS_2B_long,PS_10uM
8C,8C,biosampletime72,BEAS_2B_long,PS_10uM
8E,8E,biosampletime72,BEAS_2B_long,PS_10uM
9A,9A,biosampletime72,BEAS_2B_long,PS_100uM
9C,9C,biosampletime72,BEAS_2B_long,PS_100uM
9E,9E,biosampletime72,BEAS_2B_long,PS_100uM
1A_H,1A_H,biosampletime24,HEP_G2_long,control
1C_H,1C_H,biosampletime24,HEP_G2_long,control
1E_H,1E_H,biosampletime24,HEP_G2_long,control
2A_H,2A_H,biosampletime24,HEP_G2_long,PS_10uM
2C_H,2C_H,biosampletime24,HEP_G2_long,PS_10uM
2E_H,2E_H,biosampletime24,HEP_G2_long,PS_10uM
3A_H,3A_H,biosampletime24,HEP_G2_long,PS_100uM
3C_H,3C_H,biosampletime24,HEP_G2_long,PS_100uM
3E_H,3E_H,biosampletime24,HEP_G2_long,PS_100uM
4A_H,4A_H,biosampletime48,HEP_G2_long,control
4C_H,4C_H,biosampletime48,HEP_G2_long,control
4E_H,4E_H,biosampletime48,HEP_G2_long,control
5A_H,5A_H,biosampletime48,HEP_G2_long,PS_10uM
5C_H,5C_H,biosampletime48,HEP_G2_long,PS_10uM
5E_H,5E_H,biosampletime48,HEP_G2_long,PS_10uM
6A_H,6A_H,biosampletime48,HEP_G2_long,PS_100uM
6C_H,6C_H,biosampletime48,HEP_G2_long,PS_100uM
6E_H,6E_H,biosampletime48,HEP_G2_long,PS_100uM
7A_H,7A_H,biosampletime72,HEP_G2_long,control
7C_H,7C_H,biosampletime72,HEP_G2_long,control
7E_H,7E_H,biosampletime72,HEP_G2_long,control
8A_H,8A_H,biosampletime72,HEP_G2_long,PS_10uM
8C_H,8C_H,biosampletime72,HEP_G2_long,PS_10uM
8E_H,8E_H,biosampletime72,HEP_G2_long,PS_10uM
9A_H,9A_H,biosampletime72,HEP_G2_long,PS_100uM
9C_H,9C_H,biosampletime72,HEP_G2_long,PS_100uM
9E_H,9E_H,biosampletime72,HEP_G2_long,PS_100uM
1A_short,1A,biosampletime24,BEAS_2B_short,control
1C_short,1C,biosampletime24,BEAS_2B_short,control
