sample_name,run,bioproject,condition
SRR12601577,SRR12601577,PRJNA661769,control
SRR12601578,SRR12601578,PRJNA661769,control
SRR12601579,SRR12601579,PRJNA661769,control
SRR12601580,SRR12601580,PRJNA661769,arsenic
SRR12601581,SRR12601581,PRJNA661769,arsenic
SRR12601582,SRR12601582,PRJNA661769,arsenic
SRR12601583,SRR12601583,PRJNA661769,control
SRR12601584,SRR12601584,PRJNA661769,control
SRR12601585,SRR12601585,PRJNA661769,control
SRR12601586,SRR12601586,PRJNA661769,arsenic
SRR12601587,SRR12601587,PRJNA661769,arsenic
SRR12601588,SRR12601588,PRJNA661769,arsenic
ERR4557748,ERR4557748,PRJEB40154,control
ERR4557749,ERR4557749,PRJEB40154,control
ERR4557750,ERR4557750,PRJEB40154,control
ERR4557751,ERR4557751,PRJEB40154,arsenicrec
ERR4557752,ERR4557752,PRJEB40154,arsenicrec
ERR4557753,ERR4557753,PRJEB40154,arsenicrec
ERR4557754,ERR4557754,PRJEB40154,arsenic
ERR4557755,ERR4557755,PRJEB40154,arsenic
ERR4557756,ERR4557756,PRJEB40154,arsenic
ERR4557757,ERR4557757,PRJEB40154,control
ERR4557758,ERR4557758,PRJEB40154,control
ERR4557759,ERR4557759,PRJEB40154,control
